"Ownership","Year","Month","Value"
"Private","2022","march","2769"
"Private","2022","february","2779"
"Private","2022","january","2765"
"Private","2021","december","2831"
"Private","2021","november","2730"
"Private","2021","october","2739"
"Private","2021","september","2534"
"Private","2021","august","2602"
"Private","2021","july","2577"
"Private","2021","june","2478"
"Private","2021","may","2394"
"Private","2021","april","2287"
"Private","2021","march","2240"
"Private","2021","february","2318"
"Private","2021","january","2328"
"Private","2020","december","2306"
"Private","2020","november","2266"
"Private","2020","october","2409"
"Private","2020","september","2631"
"Private","2020","august","2787"
"Private","2020","july","2620"
"Private","2020","june","2595"
"Private","2020","may","2700"
"Private","2020","april","2699"
"Private","2020","march","2937"
"Private","2020","february","2888"
"Private","2020","january","2841"
"Private","2019","december","2866"
"Private","2019","november","2795"
"Private","2019","october","2763"
"Private","2019","september","2747"
"Private","2019","august","2785"
"Private","2019","july","2768"
"Private","2019","june","2755"
"Private","2019","may","2705"
"Private","2019","april","2659"
"Private","2019","march","2653"
"Private","2019","february","2640"
"Private","2019","january","2642"
"Private","2018","december","2691"
"Private","2018","november","2665"
"Private","2018","october","2616"
"Private","2018","september","2583"
"Private","2018","august","2539"
"Private","2018","july","2512"
"Private","2018","june","2470"
"Private","2018","may","2480"
"Private","2018","april","2438"
"Private","2018","march","2403"
"Private","2018","february","2360"
"Private","2018","january","2331"
"Private","2017","december","2352"
"Private","2017","november","2372"
"Private","2017","october","2331"
"Private","2017","september","2299"
"Private","2017","august","2326"
"Private","2017","july","2298"
"Private","2017","june","2291"
"Private","2017","may","2250"
"Private","2017","april","2215"
"Private","2017","march","2261"
"Private","2017","february","2243"
"Private","2017","january","2240"
"Private","2016","december","2350"
"Private","2016","november","2306"
"Private","2016","october","2257"
"Private","2016","september","2334"
"Private","2016","august","2327"
"Private","2016","july","2308"
"Private","2016","june","2287"
"Private","2016","may","2284"
"Private","2016","april","2299"
"Private","2016","march","2259"
"Private","2016","february","2321"
"Private","2016","january","2284"
"Private","2015","december","2259"
"Private","2015","november","2280"
"Private","2015","october","2230"
"Private","2015","september","2234"
"Private","2015","august","2248"
"Private","2015","july","2277"
"Private","2015","june","2269"
"Private","2015","may","2291"
"Private","2015","april","2254"
"Private","2015","march","2238"
"Private","2015","february","2321"
"Private","2015","january","2367"
"Private","2014","december","2359"
"Private","2014","november","2437"
"Private","2014","october","2467"
"Private","2014","september","2385"
"Private","2014","august","2372"
"Private","2014","july","2353"
"Private","2014","june","2301"
"Private","2014","may","2432"
"Private","2014","april","2437"
"Private","2014","march","2198"
"Private","2014","february","2464"
"Private","2014","january","2516"
"Private","2013","december","2497"
"Private","2013","november","2577"
"Private","2013","october","2618"
"Private","2013","september","2575"
"Private","2013","august","2910"
"Private","2013","july","3547"
"Private","2013","june","3571"
"Private","2013","may","3650"
"Private","2013","april","3882"
"Private","2013","march","3397"
"Private","2013","february","4063"
"Private","2013","january","4129"
"Private","2012","december","4271"
"Private","2012","november","4380"
"Private","2012","october","4384"
"Private","2012","september","4635"
"Private","2012","august","4763"
"Private","2012","july","4781"
"Private","2012","june","5053"
"Private","2012","may","5079"
"Private","2012","april","5152"
"Private","2012","march","5326"
"Private","2012","february","5317"
"Private","2012","january","5442"
"Private","2011","december","5570"
"Private","2011","november","5549"
"Private","2011","october","5584"
"Private","2011","september","5606"
"Private","2011","august","5664"
"Private","2011","july","5706"
"Private","2011","june","5807"
"Private","2011","may","5860"
"Private","2011","april","5854"
"Private","2011","march","5895"
"Private","2011","february","5856"
"Private","2011","january","5846"
