"County_FIPS","Total_Number_of_Alternative_Fuel_Stations","Number_of_Ethanol_Stations","Number_of_Electric_Stations","Number_of_Biodiesel_Stations","Number_of_Compressed_Natural_Gas_Stations","Number_of_Hydrogen_Stations","Number_of_Liquefied_Natural_Gas_Stations","Number_of_Propane_Stations","Year"
"47157","62","0","53","0","2","0","1","6","2022"
"47019","4","0","2","0","0","0","0","2","2022"
"47011","9","5","2","0","0","0","0","2","2022"
"47037","260","13","235","2","5","0","1","4","2022"
"47149","61","16","44","0","0","0","0","1","2022"
"47189","15","6","5","0","0","0","1","3","2022"
"47065","80","7","68","0","1","0","0","4","2022"
"47163","18","0","14","0","0","0","0","4","2022"
"47093","67","4","53","0","2","0","2","6","2022"
"47113","10","2","6","0","1","0","0","1","2022"
"47049","2","0","1","0","0","0","0","1","2022"
"47147","6","2","2","0","0","0","0","2","2022"
"47145","14","2","11","1","0","0","0","0","2022"
"47155","47","0","44","0","2","0","0","1","2022"
"37173","2","0","0","1","0","0","0","1","2022"
"47009","15","0","13","1","0","0","0","1","2022"
"47177","4","0","3","0","0","0","0","1","2022"
"47035","6","3","2","1","0","0","0","0","2022"
"47165","18","8","8","0","0","0","0","2","2022"
"47119","13","3","9","0","0","0","0","1","2022"
"47031","10","3","6","0","1","0","0","0","2022"
"47129","3","0","2","0","1","0","0","0","2022"
"47001","6","1","5","0","0","0","0","0","2022"
"47003","1","0","1","0","0","0","0","0","2022"
"47125","19","7","10","1","0","0","0","1","2022"
"47141","11","1","9","0","0","0","0","1","2022"
"47043","8","0","7","0","1","0","0","0","2022"
"47045","1","0","1","0","0","0","0","0","2022"
"47187","50","1","47","0","0","0","0","2","2022"
"47179","8","0","8","0","0","0","0","0","2022"
"47183","4","1","3","0","0","0","0","0","2022"
"47063","3","0","3","0","0","0","0","0","2022"
"47071","4","0","4","0","0","0","0","0","2022"
"47055","1","0","0","0","0","0","0","1","2022"
"47123","2","0","0","0","0","0","0","2","2022"
"47107","4","2","1","0","1","0","0","0","2022"
"47029","3","0","1","1","1","0","0","0","2022"
"47073","2","0","1","0","1","0","0","0","2022"
"47111","2","0","1","0","0","0","0","1","2022"
"47105","5","0","4","0","0","0","0","1","2022"
"47103","2","1","0","0","1","0","0","0","2022"
"47089","3","1","2","0","0","0","0","0","2022"
"47151","1","0","1","0","0","0","0","0","2022"
"47099","2","1","1","0","0","0","0","0","2022"
"47085","2","2","0","0","0","0","0","0","2022"
"47135","1","0","1","0","0","0","0","0","2022"
"47087","1","0","1","0","0","0","0","0","2022"
"47059","5","0","4","0","0","0","0","1","2022"
"47051","1","0","1","0","0","0","0","0","2022"
"47079","3","0","3","0","0","0","0","0","2022"
"47171","1","0","1","0","0","0","0","0","2022"
"47067","1","0","0","0","0","0","0","1","2022"
"47159","1","0","1","0","0","0","0","0","2022"
"47133","1","0","1","0","0","0","0","0","2022"
"47175","1","0","1","0","0","0","0","0","2022"
"47041","1","0","1","0","0","0","0","0","2022"
"47185","1","0","1","0","0","0","0","0","2022"
"47137","1","0","1","0","0","0","0","0","2022"
"47161","1","0","1","0","0","0","0","0","2022"
"47143","1","0","1","0","0","0","0","0","2022"
"47139","2","0","2","0","0","0","0","0","2022"
"47115","1","0","1","0","0","0","0","0","2022"
"47131","1","1","0","0","0","0","0","0","2022"
"47039","1","0","1","0","0","0","0","0","2022"
"47021","2","1","1","0","0","0","0","0","2022"
"47013","1","0","1","0","0","0","0","0","2022"
"47005","0","0","0","0","0","0","0","0","2022"
"47007","0","0","0","0","0","0","0","0","2022"
"47015","0","0","0","0","0","0","0","0","2022"
"47017","0","0","0","0","0","0","0","0","2022"
"47023","0","0","0","0","0","0","0","0","2022"
"47025","0","0","0","0","0","0","0","0","2022"
"47027","0","0","0","0","0","0","0","0","2022"
"47033","0","0","0","0","0","0","0","0","2022"
"47047","0","0","0","0","0","0","0","0","2022"
"47053","0","0","0","0","0","0","0","0","2022"
"47057","0","0","0","0","0","0","0","0","2022"
"47061","0","0","0","0","0","0","0","0","2022"
"47069","0","0","0","0","0","0","0","0","2022"
"47075","0","0","0","0","0","0","0","0","2022"
"47077","0","0","0","0","0","0","0","0","2022"
"47081","0","0","0","0","0","0","0","0","2022"
"47083","0","0","0","0","0","0","0","0","2022"
"47091","0","0","0","0","0","0","0","0","2022"
"47095","0","0","0","0","0","0","0","0","2022"
"47097","0","0","0","0","0","0","0","0","2022"
"47101","0","0","0","0","0","0","0","0","2022"
"47117","0","0","0","0","0","0","0","0","2022"
"47109","0","0","0","0","0","0","0","0","2022"
"47121","0","0","0","0","0","0","0","0","2022"
"47127","0","0","0","0","0","0","0","0","2022"
"47153","0","0","0","0","0","0","0","0","2022"
"47167","0","0","0","0","0","0","0","0","2022"
"47169","0","0","0","0","0","0","0","0","2022"
"47173","0","0","0","0","0","0","0","0","2022"
"47181","0","0","0","0","0","0","0","0","2022"
