"State","State_FIPS","Do_Not_Know","Prefer_Not_to_Answer","Gas","Diesel","Hybrid_Electric_or_Alternative_Fuel","Some_Other_Fuel"
"AK","02","0","0","440","36",,"0"
"AL","01","0","0","641","22",,"1"
"AR","05","0","0","387","14",,"1"
"AZ","04","2","3","5694","307",,"7"
"CA","06","27","35","47677","1917",,"35"
"CO","08","1","1","881","49",,"1"
"CT","09","2","0","439","9",,"0"
"DC","11","1","0","267","0",,"0"
"DE","10","0","0","490","4",,"1"
"FL","12","1","0","2520","53",,"1"
"GA","13","20","6","16245","367",,"18"
"HI","15","2","0","452","7",,"1"
"IA","19","3","8","5269","101",,"16"
"ID","16","0","3","730","36",,"1"
"IL","17","1","0","1743","36",,"2"
"IN","18","2","0","1004","25",,"2"
"KS","20","9","1","564","15",,"1"
"KY","21","0","0","583","13",,"0"
"LA","22","0","0","408","8",,"0"
"MA","25","3","2","767","18",,"0"
"MD","24","1","2","2792","71",,"3"
"ME","23","1","0","586","13",,"0"
"MI","26","1","2","1496","28",,"2"
"MN","27","0","2","1278","18",,"3"
"MO","29","0","0","964","29",,"1"
"MS","28","0","0","391","22",,"0"
"MT","30","0","0","783","52",,"0"
"NC","37","7","19","17235","464",,"15"
"ND","38","4","0","676","31",,"1"
"NE","31","0","0","569","25",,"3"
"NH","33","0","5","543","11",,"0"
"NJ","34","0","0","964","13",,"0"
"NM","35","0","0","447","25",,"0"
"NV","32","0","0","348","15",,"0"
"NY","36","16","11","29643","566",,"12"
"OH","39","1","2","1930","32",,"1"
"OK","40","1","1","2461","90",,"4"
"OR","41","0","0","713","40",,"0"
"PA","42","0","1","1930","39",,"1"
"RI","44","0","0","408","3",,"0"
"SC","45","4","16","13554","317",,"7"
"SD","46","0","0","707","30",,"3"
"TN","47","0","0","905","23",,"0"
"TX","48","23","30","45318","1609",,"35"
"UT","49","0","0","687","40",,"1"
"VA","51","1","1","1406","27",,"0"
"VT","50","0","0","711","27",,"1"
"WA","53","0","0","1209","53",,"0"
"WI","55","19","18","22880","609",,"10"
"WV","54","1","0","409","6",,"2"
"WY","56","0","2","615","57",,"0"
